"Message ID";"Date";"Subject";"JSTTime";"Author";"Type";"Category";"Exp number";"Run number";"Num events";"Run time [min]";"Solenoid";"Subdetectors";"DQM plots";"Text"
14757;Mon  14 Oct 2019 18:17:03 +0000;"run number 1915";"2019/10/15 03:16 JST";"dlevit";"New Run";"Cosmic study";"10";"1915";"-99";"0:00:09";"ON";"PXD | SVD | CDC | TOP | ARICH | ECL | KLM | TRG";"0";"Run was started at 2019/10/15 03:16 JST
Run was stopped at 2019/10/15 03:17 JST
Experiment: 10
Runnumber: 1915
Run type: cosmic
Trigger type: gdl
HLT Script: beam_reco_monitor

HV state: PEAK
Subsystems in PEAK: CDC SVD TOP ARICH PXD 
Subsystems masked: 

HER/LER current at the start: -0.0617 / -0.0019 mA
Number of HER/LER bunches: 1576.0 / 1576.0
Luminosity at start [10^30 /cm^2/sec]: 0.0
Rate (Trig. output) at start [Hz]: 0.0
Solenoid: OFF (0.0 T, 0 A)
Total events: -99
Integrated Luminosity [10^33 /cm^2]: -99

Stopped because of: Abort  while starting, ERRORs in PXD run control, KLM03, HLT"
14756;Mon  14 Oct 2019 18:13:42 +0000;"run number 1914";"2019/10/15 00:45 JST";"dlevit";"New Run";"Cosmic study";"10";"1914";"1448696";"2:27:56";"ON";"PXD | SVD | CDC | TOP | ARICH | ECL | KLM | TRG";"0";"Run was started at 2019/10/15 00:45 JST
Run was stopped at 2019/10/15 03:13 JST
Experiment: 10
Runnumber: 1914
Run type: cosmic
Trigger type: gdl
HLT Script: beam_reco_monitor

HV state: PEAK
Subsystems in PEAK: CDC SVD TOP ARICH PXD 
Subsystems masked: 

HER/LER current at the start: -0.0617 / -0.0019 mA
Number of HER/LER bunches: 1576.0 / 1576.0
Luminosity at start [10^30 /cm^2/sec]: 0.0
Rate (Trig. output) at start [Hz]: 160.857167562
Solenoid: ON (1.5028 T, 4087 A)
Total events: 1448696
Integrated Luminosity [10^33 /cm^2]: -99

Stopped because of: KLM HV trip"
14755;Mon  14 Oct 2019 15:43:29 +0000;"run number 1913";"2019/10/14 22:16 JST";"dlevit";"New Run";"Cosmic study";"10";"1913";"1429068";"2:27:24";"ON";"PXD | SVD | CDC | TOP | ARICH | ECL | KLM | TRG";"0";"Run was started at 2019/10/14 22:16 JST
Run was stopped at 2019/10/15 00:43 JST
Experiment: 10
Runnumber: 1913
Run type: cosmic
Trigger type: gdl
HLT Script: beam_reco_monitor

HV state: PEAK
Subsystems in PEAK: CDC SVD TOP ARICH PXD 
Subsystems masked: 

HER/LER current at the start: -0.0617 / -0.0019 mA
Number of HER/LER bunches: 1576.0 / 1576.0
Luminosity at start [10^30 /cm^2/sec]: 0.0
Rate (Trig. output) at start [Hz]: 158.579228719
Solenoid: ON (1.5028 T, 4087 A)
Total events: 1429068
Integrated Luminosity [10^33 /cm^2]: -99

Stopped because of: CDC ttlost"
14752;Mon  14 Oct 2019 13:13:17 +0000;"run number 1912";"2019/10/14 21:39 JST";"dlevit";"New Run";"Cosmic study";"10";"1912";"327616";"0:34:05";"ON";"PXD | SVD | CDC | TOP | ARICH | ECL | KLM | TRG";"0";"Run was started at 2019/10/14 21:39 JST
Run was stopped at 2019/10/14 22:13 JST
Experiment: 10
Runnumber: 1912
Run type: cosmic
Trigger type: gdl
HLT Script: beam_reco_monitor

HV state: PEAK
Subsystems in PEAK: CDC SVD TOP ARICH PXD 
Subsystems masked: 

HER/LER current at the start: -0.0617 / -0.0019 mA
Number of HER/LER bunches: 1576.0 / 1576.0
Luminosity at start [10^30 /cm^2/sec]: 0.0
Rate (Trig. output) at start [Hz]: 162.144561768
Solenoid: ON (1.5 T, 4093 A)
Total events: 327616
Integrated Luminosity [10^33 /cm^2]: -99

Stopped because of: CDC b2llost [cpr2003c]


==================>>>>  VALUE OF SOLENOID STATUS WAS CHANGED BY HAND"
14751;Mon  14 Oct 2019 12:35:30 +0000;"run number 1911";"2019/10/14 21:23 JST";"dlevit";"New Run";"Cosmic study";"10";"1911";"109300";"0:11:41";"ON";"PXD | SVD | CDC | TOP | ARICH | ECL | KLM | TRG";"0";"Run was started at 2019/10/14 21:23 JST
Run was stopped at 2019/10/14 21:35 JST
Experiment: 10
Runnumber: 1911
Run type: cosmic
Trigger type: gdl
HLT Script: beam_reco_monitor

HV state: PEAK
Subsystems in PEAK: CDC SVD TOP ARICH PXD 
Subsystems masked: 

HER/LER current at the start: -0.0617 / -0.0019 mA
Number of HER/LER bunches: 1576.0 / 1576.0
Luminosity at start [10^30 /cm^2/sec]: 0.0
Rate (Trig. output) at start [Hz]: 159.44295756
Solenoid: OFF (0.0 T, 0 A)
Total events: 109300
Integrated Luminosity [10^33 /cm^2]: -99

Stopped because of: KLM ttlost [dc38]


==================>>>>  VALUE OF SOLENOID STATUS WAS CHANGED BY HAND"
14750;Mon  14 Oct 2019 12:20:15 +0000;"run number 1910";"2019/10/14 20:23 JST";"dlevit";"New Run";"Cosmic study";"10";"1910";"551654";"0:56:46";"ON";"SVD | CDC | TOP | ARICH | ECL | KLM | TRG";"0";"Run was started at 2019/10/14 20:23 JST
Run was stopped at 2019/10/14 21:20 JST
Experiment: 10
Runnumber: 1910
Run type: cosmic
Trigger type: gdl
HLT Script: beam_reco_monitor

HV state: ERROR
Subsystems in PEAK: CDC SVD TOP ARICH 
Subsystems masked: 

HER/LER current at the start: -0.0617 / -0.0019 mA
Number of HER/LER bunches: 1576.0 / 1576.0
Luminosity at start [10^30 /cm^2/sec]: 0.0
Rate (Trig. output) at start [Hz]: 165.502990723
Solenoid: OFF (0.0 T, 0 A)
Total events: 551654
Integrated Luminosity [10^33 /cm^2]: -99

Stopped because of: to include PXD

==================>>>>  VALUE OF SOLENOID STATUS WAS CHANGED BY HAND"
14749;Mon  14 Oct 2019 11:21:12 +0000;"run number 1909";"2019/10/14 20:18 JST";"dlevit";"New Run";"Cosmic study";"10";"1909";"24046";"0:03:05";"ON";"SVD | CDC | TOP | ARICH | ECL | KLM | TRG";"0";"Run was started at 2019/10/14 20:18 JST
Run was stopped at 2019/10/14 20:21 JST
Experiment: 10
Runnumber: 1909
Run type: cosmic
Trigger type: gdl
HLT Script: beam_reco_monitor

HV state: ERROR
Subsystems in PEAK: CDC SVD TOP ARICH 
Subsystems masked: 

HER/LER current at the start: -0.0617 / -0.0019 mA
Number of HER/LER bunches: 1576.0 / 1576.0
Luminosity at start [10^30 /cm^2/sec]: 0.0
Rate (Trig. output) at start [Hz]: 163.169387817
Solenoid: OFF (0.0 T, 0 A)
Total events: 24046
Integrated Luminosity [10^33 /cm^2]: -99

Stopped because of: TRG BUSY [busy source unclear]

==================>>>>  VALUE OF SOLENOID STATUS WAS CHANGED BY HAND"
14748;Mon  14 Oct 2019 11:06:21 +0000;"run number 1908";"2019/10/14 19:25 JST";"dlevit";"New Run";"Cosmic study";"10";"1908";"399896";"0:41:14";"ON";"SVD | CDC | TOP | ARICH | ECL | KLM | TRG";"0";"Run was started at 2019/10/14 19:25 JST
Run was stopped at 2019/10/14 20:06 JST
Experiment: 10
Runnumber: 1908
Run type: cosmic
Trigger type: gdl
HLT Script: beam_reco_monitor

HV state: PEAK
Subsystems in PEAK: CDC SVD TOP ARICH PXD 
Subsystems masked: 

HER/LER current at the start: -0.0617 / -0.0019 mA
Number of HER/LER bunches: 1576.0 / 1576.0
Luminosity at start [10^30 /cm^2/sec]: 0.0
Rate (Trig. output) at start [Hz]: 160.540679932
Solenoid: ON (1.5 T, 4093 A)
Total events: 399896
Integrated Luminosity [10^33 /cm^2]: -99

Stopped because of: SVD expert requested for reconfiguring 

==================>>>>  VALUE OF SOLENOID STATUS WAS CHANGED BY HAND"
14747;Mon  14 Oct 2019 10:22:28 +0000;"run number 1907";"2019/10/14 19:21 JST";"dlevit";"New Run";"Cosmic study";"10";"1907";"6555";"0:00:55";"ON";"PXD | SVD | CDC | TOP | ARICH | ECL | KLM | TRG";"0";"Run was started at 2019/10/14 19:21 JST
Run was stopped at 2019/10/14 19:22 JST
Experiment: 10
Runnumber: 1907
Run type: cosmic
Trigger type: gdl
HLT Script: beam_reco_monitor

HV state: PEAK
Subsystems in PEAK: CDC SVD TOP ARICH PXD 
Subsystems masked: 

HER/LER current at the start: -0.0617 / -0.0019 mA
Number of HER/LER bunches: 1576.0 / 1576.0
Luminosity at start [10^30 /cm^2/sec]: 0.0
Rate (Trig. output) at start [Hz]: 171.882049561
Solenoid: ON (1.5 T, 4093 A)
Total events: 6555
Integrated Luminosity [10^33 /cm^2]: -99

Stopped because of: error in PXD


==================>>>>  VALUE OF SOLENOID STATUS WAS CHANGED BY HAND"
14746;Mon  14 Oct 2019 10:19:10 +0000;"run number 1906";"2019/10/14 19:18 JST";"dlevit";"New Run";"Cosmic study";"10";"1906";"7888";"0:01:02";"ON";"PXD | SVD | CDC | TOP | ARICH | ECL | KLM | TRG";"0";"Run was started at 2019/10/14 19:18 JST
Run was stopped at 2019/10/14 19:19 JST
Experiment: 10
Runnumber: 1906
Run type: cosmic
Trigger type: gdl
HLT Script: beam_reco_monitor

HV state: PEAK
Subsystems in PEAK: CDC SVD TOP ARICH PXD 
Subsystems masked: 

HER/LER current at the start: -0.0617 / -0.0019 mA
Number of HER/LER bunches: 1576.0 / 1576.0
Luminosity at start [10^30 /cm^2/sec]: 0.0
Rate (Trig. output) at start [Hz]: 158.20791626
Solenoid: ON (1.5 T, 4093 A)
Total events: 7888
Integrated Luminosity [10^33 /cm^2]: -99

Stopped because of: ERROR in PXDRC
  'HLT trigger arrived without DHH data'


==================>>>>  VALUE OF SOLENOID STATUS WAS CHANGED BY HAND"
